experiment,seed,mode,split,subset,wape,wpe,mae,n
exp16a_specific_stock_cnt_only,62,specific_only,valid,all,0.457554,-0.235337,0.449626,674999
exp16a_specific_stock_cnt_only,62,specific_only,valid,stockout,0.482055,-0.206209,0.480217,291073
exp16a_specific_stock_cnt_only,62,specific_only,valid,non_stockout,0.438525,-0.257960,0.426434,383926
exp16a_specific_stock_cnt_only,62,specific_only,test,all,0.453548,-0.236041,0.449748,674999
exp16a_specific_stock_cnt_only,62,specific_only,test,stockout,0.476132,-0.211922,0.475186,292812
exp16a_specific_stock_cnt_only,62,specific_only,test,non_stockout,0.436047,-0.254731,0.430259,382187
exp16b_specific_stock_both,42,both,valid,all,0.425941,-0.010334,0.418561,674999
exp16b_specific_stock_both,42,both,valid,stockout,0.445649,0.015473,0.443950,291073
exp16b_specific_stock_both,42,both,valid,non_stockout,0.410634,-0.030379,0.399312,383926
exp16b_specific_stock_both,42,both,test,all,0.430177,0.040075,0.426573,674999
exp16b_specific_stock_both,42,both,test,stockout,0.442852,0.061821,0.441973,292812
exp16b_specific_stock_both,42,both,test,non_stockout,0.420355,0.023224,0.414774,382187
exp16b_specific_stock_both,42,common_only,valid,all,0.658595,-0.461502,0.647183,674999
exp16b_specific_stock_both,42,common_only,valid,stockout,0.688991,-0.466431,0.686364,291073
exp16b_specific_stock_both,42,common_only,valid,non_stockout,0.634986,-0.457675,0.617478,383926
exp16b_specific_stock_both,42,common_only,test,all,0.649800,-0.418659,0.644356,674999
exp16b_specific_stock_both,42,common_only,test,stockout,0.666919,-0.420988,0.665595,292812
exp16b_specific_stock_both,42,common_only,test,non_stockout,0.636534,-0.416854,0.628083,382187
exp16b_specific_stock_both,42,specific_only,valid,all,0.504765,-0.349722,0.496019,674999
exp16b_specific_stock_both,42,specific_only,valid,stockout,0.526533,-0.323145,0.524525,291073
exp16b_specific_stock_both,42,specific_only,valid,non_stockout,0.487859,-0.370364,0.474407,383926
exp16b_specific_stock_both,42,specific_only,test,all,0.501666,-0.349191,0.497463,674999
exp16b_specific_stock_both,42,specific_only,test,stockout,0.524625,-0.328537,0.523583,292812
exp16b_specific_stock_both,42,specific_only,test,non_stockout,0.483875,-0.365197,0.477451,382187
exp16b_specific_stock_both,52,both,valid,all,0.432912,0.017937,0.425411,674999
exp16b_specific_stock_both,52,both,valid,stockout,0.451981,0.040881,0.450257,291073
exp16b_specific_stock_both,52,both,valid,non_stockout,0.418101,0.000117,0.406573,383926
exp16b_specific_stock_both,52,both,test,all,0.443299,0.075083,0.439585,674999
exp16b_specific_stock_both,52,both,test,stockout,0.454395,0.093327,0.453493,292812
exp16b_specific_stock_both,52,both,test,non_stockout,0.434700,0.060946,0.428929,382187
exp16b_specific_stock_both,52,common_only,valid,all,0.679722,-0.531656,0.667944,674999
exp16b_specific_stock_both,52,common_only,valid,stockout,0.710326,-0.536539,0.707617,291073
exp16b_specific_stock_both,52,common_only,valid,non_stockout,0.655952,-0.527864,0.637866,383926
exp16b_specific_stock_both,52,common_only,test,all,0.659269,-0.466318,0.653745,674999
exp16b_specific_stock_both,52,common_only,test,stockout,0.677882,-0.470275,0.676536,292812
exp16b_specific_stock_both,52,common_only,test,non_stockout,0.644845,-0.463251,0.636284,382187
exp16b_specific_stock_both,52,specific_only,valid,all,0.497732,-0.335150,0.489107,674999
exp16b_specific_stock_both,52,specific_only,valid,stockout,0.523171,-0.309095,0.521175,291073
exp16b_specific_stock_both,52,specific_only,valid,non_stockout,0.477974,-0.355387,0.464795,383926
exp16b_specific_stock_both,52,specific_only,test,all,0.494861,-0.335983,0.490715,674999
exp16b_specific_stock_both,52,specific_only,test,stockout,0.520470,-0.316067,0.519437,292812
exp16b_specific_stock_both,52,specific_only,test,non_stockout,0.475015,-0.351416,0.468709,382187
exp16b_specific_stock_both,62,both,valid,all,0.429614,-0.002247,0.422170,674999
exp16b_specific_stock_both,62,both,valid,stockout,0.448613,0.023576,0.446902,291073
exp16b_specific_stock_both,62,both,valid,non_stockout,0.414859,-0.022302,0.403420,383926
exp16b_specific_stock_both,62,both,test,all,0.436884,0.052452,0.433223,674999
exp16b_specific_stock_both,62,both,test,stockout,0.448158,0.073069,0.447268,292812
exp16b_specific_stock_both,62,both,test,non_stockout,0.428148,0.036475,0.422464,382187
exp16b_specific_stock_both,62,common_only,valid,all,0.672844,-0.514702,0.661185,674999
exp16b_specific_stock_both,62,common_only,valid,stockout,0.703053,-0.518672,0.700372,291073
exp16b_specific_stock_both,62,common_only,valid,non_stockout,0.649381,-0.511619,0.631476,383926
exp16b_specific_stock_both,62,common_only,test,all,0.655437,-0.457376,0.649945,674999
exp16b_specific_stock_both,62,common_only,test,stockout,0.672925,-0.459534,0.671589,292812
exp16b_specific_stock_both,62,common_only,test,non_stockout,0.641885,-0.455704,0.633363,382187
exp16b_specific_stock_both,62,specific_only,valid,all,0.506265,-0.351620,0.497493,674999
exp16b_specific_stock_both,62,specific_only,valid,stockout,0.527814,-0.319251,0.525801,291073
exp16b_specific_stock_both,62,specific_only,valid,non_stockout,0.489528,-0.376760,0.476031,383926
exp16b_specific_stock_both,62,specific_only,test,all,0.503186,-0.352202,0.498970,674999
exp16b_specific_stock_both,62,specific_only,test,stockout,0.525268,-0.326254,0.524224,292812
exp16b_specific_stock_both,62,specific_only,test,non_stockout,0.486074,-0.372310,0.479621,382187
exp16c_common_stock_both,42,both,valid,all,0.426677,-0.009468,0.419283,674999
exp16c_common_stock_both,42,both,valid,stockout,0.444360,0.019160,0.442666,291073
exp16c_common_stock_both,42,both,valid,non_stockout,0.412942,-0.031703,0.401556,383926
exp16c_common_stock_both,42,both,test,all,0.432470,0.039541,0.428847,674999
exp16c_common_stock_both,42,both,test,stockout,0.443011,0.063731,0.442132,292812
exp16c_common_stock_both,42,both,test,non_stockout,0.424302,0.020795,0.418669,382187
exp16c_common_stock_both,42,common_only,valid,all,0.653939,-0.412316,0.642608,674999
exp16c_common_stock_both,42,common_only,valid,stockout,0.689628,-0.426926,0.686998,291073
exp16c_common_stock_both,42,common_only,valid,non_stockout,0.626220,-0.400969,0.608953,383926
exp16c_common_stock_both,42,common_only,test,all,0.648951,-0.366455,0.643514,674999
exp16c_common_stock_both,42,common_only,test,stockout,0.669003,-0.379953,0.667675,292812
exp16c_common_stock_both,42,common_only,test,non_stockout,0.633412,-0.355995,0.625003,382187
exp16c_common_stock_both,42,specific_only,valid,all,0.498054,-0.325676,0.489424,674999
exp16c_common_stock_both,42,specific_only,valid,stockout,0.518617,-0.288051,0.516639,291073
exp16c_common_stock_both,42,specific_only,valid,non_stockout,0.482084,-0.354898,0.468792,383926
exp16c_common_stock_both,42,specific_only,test,all,0.494053,-0.326471,0.489914,674999
exp16c_common_stock_both,42,specific_only,test,stockout,0.513798,-0.294125,0.512778,292812
exp16c_common_stock_both,42,specific_only,test,non_stockout,0.478752,-0.351536,0.472396,382187
exp16c_common_stock_both,52,both,valid,all,0.435861,0.028127,0.428308,674999
exp16c_common_stock_both,52,both,valid,stockout,0.451842,0.052553,0.450119,291073
exp16c_common_stock_both,52,both,valid,non_stockout,0.423448,0.009157,0.411773,383926
exp16c_common_stock_both,52,both,test,all,0.456088,0.108702,0.452267,674999
exp16c_common_stock_both,52,both,test,stockout,0.462965,0.128150,0.462046,292812
exp16c_common_stock_both,52,both,test,non_stockout,0.450758,0.093631,0.444774,382187
exp16c_common_stock_both,52,common_only,valid,all,0.651509,-0.401346,0.640220,674999
exp16c_common_stock_both,52,common_only,valid,stockout,0.686091,-0.422835,0.683474,291073
exp16c_common_stock_both,52,common_only,valid,non_stockout,0.624650,-0.384657,0.607427,383926
exp16c_common_stock_both,52,common_only,test,all,0.647359,-0.319171,0.641935,674999
exp16c_common_stock_both,52,common_only,test,stockout,0.664967,-0.339569,0.663647,292812
exp16c_common_stock_both,52,common_only,test,non_stockout,0.633713,-0.303365,0.625300,382187
exp16c_common_stock_both,52,specific_only,valid,all,0.562576,-0.432690,0.552829,674999
exp16c_common_stock_both,52,specific_only,valid,stockout,0.575104,-0.390525,0.572910,291073
exp16c_common_stock_both,52,specific_only,valid,non_stockout,0.552847,-0.465438,0.537604,383926
exp16c_common_stock_both,52,specific_only,test,all,0.558216,-0.430981,0.553539,674999
exp16c_common_stock_both,52,specific_only,test,stockout,0.573067,-0.395994,0.571929,292812
exp16c_common_stock_both,52,specific_only,test,non_stockout,0.546708,-0.458093,0.539450,382187
exp16c_common_stock_both,62,both,valid,all,0.429155,-0.011454,0.421719,674999
exp16c_common_stock_both,62,both,valid,stockout,0.446530,0.013818,0.444827,291073
exp16c_common_stock_both,62,both,valid,non_stockout,0.415661,-0.031082,0.404200,383926
exp16c_common_stock_both,62,both,test,all,0.435056,0.037875,0.431411,674999
exp16c_common_stock_both,62,both,test,stockout,0.444721,0.059093,0.443837,292812
exp16c_common_stock_both,62,both,test,non_stockout,0.427566,0.021432,0.421890,382187
exp16c_common_stock_both,62,common_only,valid,all,0.682853,-0.546096,0.671021,674999
exp16c_common_stock_both,62,common_only,valid,stockout,0.718196,-0.561660,0.715457,291073
exp16c_common_stock_both,62,common_only,valid,non_stockout,0.655403,-0.534009,0.637332,383926
exp16c_common_stock_both,62,common_only,test,all,0.663634,-0.496877,0.658074,674999
exp16c_common_stock_both,62,common_only,test,stockout,0.685419,-0.510995,0.684058,292812
exp16c_common_stock_both,62,common_only,test,non_stockout,0.646752,-0.485938,0.638166,382187
exp16c_common_stock_both,62,specific_only,valid,all,0.496580,-0.320474,0.487976,674999
exp16c_common_stock_both,62,specific_only,valid,stockout,0.516805,-0.281012,0.514834,291073
exp16c_common_stock_both,62,specific_only,valid,non_stockout,0.480871,-0.351123,0.467613,383926
exp16c_common_stock_both,62,specific_only,test,all,0.492551,-0.321141,0.488424,674999
exp16c_common_stock_both,62,specific_only,test,stockout,0.511739,-0.287129,0.510722,292812
exp16c_common_stock_both,62,specific_only,test,non_stockout,0.477682,-0.347498,0.471340,382187
